symbol,preset,value,trades,wins,losses,win_rate,profit_pct
SOLUSDT,default,1.0,87,3,84,0.0345,-8.4967
SOLUSDT,loose_entry,1.0,93,3,90,0.0323,-10.5064
SOLUSDT,broad_zone,1.0,88,3,85,0.0341,-8.6365
SOLUSDT,low_rr,1.0,92,3,89,0.0326,-10.3666
SOLUSDT,aggressive,1.0,93,3,90,0.0323,-10.5064
SOLUSDT,partial_50,1.0,32,3,22,0.3125,3.2538
SOLUSDT,partial_60,1.0,47,2,41,0.1277,-3.4203
SOLUSDT,partial_70,1.0,47,2,41,0.1277,-2.4726
SOLUSDT,partial_tight,1.0,43,2,37,0.1395,-2.1992
SOLUSDT,partial_high_rr,1.0,20,2,14,0.3,2.9549
SOLUSDT,partial_conservative,1.0,29,2,21,0.2759,1.3094
SOLUSDT,trail_20_from_15,1.0,117,2,93,0.2051,-4.9923
SOLUSDT,trail_15_from_15,1.0,48,2,30,0.375,-0.7602
SOLUSDT,trail_15_from_15_d1,1.0,59,2,39,0.339,-2.263
SOLUSDT,trail_25_from_15,1.0,89,2,62,0.3034,-2.3978
SOLUSDT,db_layer_0,1.0,34,0,22,0.3529,-2.6042
SOLUSDT,db_layer_1,1.0,78,0,69,0.1154,-6.8589
SOLUSDT,db_layer_3,1.0,58,0,48,0.1724,-3.9976
SOLUSDT,rr_4x_trail_20,1.0,29,0,19,0.3448,-2.2175
SOLUSDT,rr_3x_trail_15,1.0,76,0,67,0.1184,-6.6182
SOLUSDT,sl_filter_trail,1.0,79,1,56,0.2911,-3.4416
SOLUSDT,trail_20_from_30_sl_filter,1.0,35,2,23,0.3429,0.2165
SOLUSDT,trail_20_from_30_full,1.0,28,0,21,0.25,-3.2406
SOLUSDT,trail_15_from_30,1.0,100,2,86,0.14,-5.1141
SOLUSDT,trail_20_from_30_cooldown,1.0,33,2,20,0.3939,1.3746
SOLUSDT,trail_15_from_30_tp95,1.0,38,2,24,0.3684,0.9424
SOLUSDT,trail_15_from_30_cooldown,1.0,33,2,20,0.3939,1.9145
SOLUSDT,trail_15_from_30_full,1.0,33,2,19,0.4242,2.323
SOLUSDT,db_clone_cooldown,1.0,26,0,17,0.3462,-2.8431
SOLUSDT,correction_w20_trail15_30,1.0,38,2,24,0.3684,0.9424
SOLUSDT,db_full_clone,1.0,40,0,28,0.3,-3.2516
SOLUSDT,sl_adjust_rr_trail,1.0,44,0,39,0.1136,-4.6671
SOLUSDT,sl_adjust_rr_tp95,1.0,39,0,24,0.3846,-4.4657
SOLUSDT,max_profit_2pct,1.0,42,3,39,0.0714,-4.9393
SOLUSDT,max_profit_2pct_trail,1.0,15,0,9,0.4,0.2163
SOLUSDT,max_profit_3pct_trail,1.0,38,0,34,0.1053,-3.5404
SOLUSDT,r5_tight,1.0,33,2,19,0.4242,2.323
SOLUSDT,r5_rr3,1.0,25,0,18,0.28,-3.0108
SOLUSDT,r5_sl_filter,1.0,30,2,18,0.4,1.3749
SOLUSDT,r5_sl_adjust,1.0,25,0,18,0.28,-3.0108
SOLUSDT,r5_tight_rr3,1.0,25,0,18,0.28,-3.0108
SOLUSDT,r5_tight_sl,1.0,30,2,18,0.4,1.3749
SOLUSDT,r5_all_filters,1.0,23,0,17,0.2609,-2.9943
SOLUSDT,r5_trail10,1.0,48,2,37,0.2292,-1.0703
SOLUSDT,r5_arm25,1.0,41,2,30,0.2683,-1.9359
SOLUSDT,r5_arm20,1.0,43,2,29,0.3256,-1.4092
SOLUSDT,r5_arm15_cooldown,1.0,47,2,29,0.383,-1.0597
SOLUSDT,r6_arm15_rr4,1.0,21,0,14,0.3333,-2.5903
SOLUSDT,r6_arm15_maxp3_trail20,1.0,27,2,13,0.5185,-0.4357
SOLUSDT,r6_arm15_full,1.0,20,0,17,0.15,-3.2417
SOLUSDT,r7_arm20_maxp3_trail20,1.0,25,2,13,0.48,-0.3594
SOLUSDT,r7_trail15_maxp3,1.0,38,2,19,0.5,0.655
SOLUSDT,r7_trail20_maxp3,1.0,38,2,19,0.5,0.22
SOLUSDT,r7_full_clone_cooldown,1.0,22,0,19,0.1364,-3.9427
SOLUSDT,r5_sl_adj_cooldown,1.0,29,0,20,0.3103,-6.7645
SOLUSDT,r5_trail10_rr3,1.0,25,0,18,0.28,-2.6369
SOLUSDT,full_clone_max_tp,1.0,35,0,32,0.0857,-3.6041
SOLUSDT,full_clone_sl_adjust,1.0,64,0,56,0.125,-4.9513
SOLUSDT,lh_sell_trail15,1.0,39,2,25,0.359,-0.9886
SOLUSDT,lh_sell_prox15_trail15,1.0,40,2,26,0.35,-1.2957
SOLUSDT,hl_buy_trail15,1.0,54,2,35,0.3519,6.2393
SOLUSDT,hl_buy_prox15_trail15,1.0,41,2,23,0.439,7.9877
SOLUSDT,pre_confirm_trail15,1.0,55,2,36,0.3455,4.8636
SOLUSDT,pre_confirm_prox15_trail15,1.0,42,2,24,0.4286,6.0568
SOLUSDT,r8_btc_minsl_strict,1.0,41,1,30,0.2683,-1.9325
SOLUSDT,r8_sol_hlbuy_cooldown,1.0,64,2,48,0.25,3.8275
SOLUSDT,trail_15_from_30_act2_min1,1.0,92,5,84,0.087,-5.0884
SOLUSDT,trail_15_from_30_act3_min1,1.0,84,4,79,0.0595,-3.5245
SOLUSDT,trail_15_from_30_act5_min15,1.0,84,4,80,0.0476,-7.32
SOLUSDT,trail_20_from_30_act2_min1,1.0,28,5,20,0.2857,0.4803
SOLUSDT,trail_20_from_30_act3_min1,1.0,24,3,20,0.1667,-1.0344
SOLUSDT,trail_20_from_30_act5_min15,1.0,24,3,21,0.125,-4.8256
SOLUSDT,trail_15_from_15_act2_min1,1.0,35,4,29,0.1714,-3.9659
SOLUSDT,trail_15_from_15_act3_min1,1.0,33,4,28,0.1515,-1.2033
SOLUSDT,trail_15_from_15_act5_min15,1.0,33,4,29,0.1212,-4.9969
SOLUSDT,trail_20_from_15_act2_min1,1.0,83,5,75,0.0964,-4.3923
SOLUSDT,trail_20_from_15_act3_min1,1.0,78,4,73,0.0641,-3.5147
SOLUSDT,trail_20_from_15_act5_min15,1.0,78,4,74,0.0513,-7.3102
SOLUSDT,default,0.8,73,3,70,0.0411,-6.2175
SOLUSDT,loose_entry,0.8,80,3,77,0.0375,-8.373
SOLUSDT,broad_zone,0.8,75,3,72,0.04,-6.5031
SOLUSDT,low_rr,0.8,78,3,75,0.0385,-8.0874
SOLUSDT,aggressive,0.8,80,3,77,0.0375,-8.373
SOLUSDT,partial_50,0.8,34,3,23,0.3235,2.3007
SOLUSDT,partial_60,0.8,41,2,34,0.1707,-0.0515
SOLUSDT,partial_70,0.8,40,2,34,0.15,0.2663
SOLUSDT,partial_tight,0.8,37,1,32,0.1351,-1.5798
SOLUSDT,partial_high_rr,0.8,24,2,19,0.2083,0.0723
SOLUSDT,partial_conservative,0.8,29,2,22,0.2414,-0.4044
SOLUSDT,trail_20_from_15,0.8,98,2,77,0.2143,-2.6856
SOLUSDT,trail_15_from_15,0.8,41,2,25,0.3902,0.9252
SOLUSDT,trail_15_from_15_d1,0.8,50,2,32,0.36,0.1006
SOLUSDT,trail_25_from_15,0.8,74,2,52,0.2973,-1.0225
SOLUSDT,db_layer_0,0.8,29,0,20,0.3103,-2.2562
SOLUSDT,db_layer_1,0.8,62,0,55,0.1129,-5.0249
SOLUSDT,db_layer_3,0.8,46,0,38,0.1739,-2.5693
SOLUSDT,rr_4x_trail_20,0.8,26,0,18,0.3077,-1.9817
SOLUSDT,rr_3x_trail_15,0.8,60,0,53,0.1167,-4.7842
SOLUSDT,sl_filter_trail,0.8,64,1,46,0.2812,-2.1457
SOLUSDT,trail_20_from_30_sl_filter,0.8,34,2,21,0.3824,0.8708
SOLUSDT,trail_20_from_30_full,0.8,25,0,20,0.2,-3.557
SOLUSDT,trail_15_from_30,0.8,86,2,73,0.1512,-2.8526
SOLUSDT,trail_20_from_30_cooldown,0.8,32,2,18,0.4375,2.0289
SOLUSDT,trail_15_from_30_tp95,0.8,35,2,23,0.3429,0.2436
SOLUSDT,trail_15_from_30_cooldown,0.8,32,2,18,0.4375,2.588
SOLUSDT,trail_15_from_30_full,0.8,31,2,19,0.3871,1.3995
SOLUSDT,db_clone_cooldown,0.8,20,0,14,0.3,-2.6337
SOLUSDT,correction_w20_trail15_30,0.8,35,2,23,0.3429,0.2436
SOLUSDT,db_full_clone,0.8,31,0,22,0.2903,-2.5573
SOLUSDT,sl_adjust_rr_trail,0.8,35,0,31,0.1143,-3.6347
SOLUSDT,sl_adjust_rr_tp95,0.8,32,0,21,0.3438,-3.6371
SOLUSDT,max_profit_2pct,0.8,36,3,33,0.0833,-3.8942
SOLUSDT,max_profit_2pct_trail,0.8,12,0,8,0.3333,0.168
SOLUSDT,max_profit_3pct_trail,0.8,30,0,27,0.1,-2.3618
SOLUSDT,r5_tight,0.8,31,2,19,0.3871,1.3995
SOLUSDT,r5_rr3,0.8,23,0,18,0.2174,-3.6174
SOLUSDT,r5_sl_filter,0.8,28,2,18,0.3571,0.4513
SOLUSDT,r5_sl_adjust,0.8,23,0,18,0.2174,-3.6174
SOLUSDT,r5_tight_rr3,0.8,23,0,18,0.2174,-3.6174
SOLUSDT,r5_tight_sl,0.8,28,2,18,0.3571,0.4513
SOLUSDT,r5_all_filters,0.8,21,0,17,0.1905,-3.6009
SOLUSDT,r5_trail10,0.8,40,2,31,0.225,0.1658
SOLUSDT,r5_arm25,0.8,32,2,24,0.25,-0.7905
SOLUSDT,r5_arm20,0.8,35,2,24,0.3143,0.0027
SOLUSDT,r5_arm15_cooldown,0.8,38,2,24,0.3684,-0.125
SOLUSDT,r6_arm15_rr4,0.8,17,0,12,0.2941,-2.2219
SOLUSDT,r6_arm15_maxp3_trail20,0.8,22,2,11,0.5,-0.0661
SOLUSDT,r6_arm15_full,0.8,17,0,15,0.1176,-2.7805
SOLUSDT,r7_arm20_maxp3_trail20,0.8,20,2,11,0.45,0.0102
SOLUSDT,r7_trail15_maxp3,0.8,33,2,17,0.4848,1.7182
SOLUSDT,r7_trail20_maxp3,0.8,33,2,17,0.4848,1.2919
SOLUSDT,r7_full_clone_cooldown,0.8,17,0,15,0.1176,-2.8311
SOLUSDT,r5_sl_adj_cooldown,0.8,23,0,17,0.2609,-5.422
SOLUSDT,r5_trail10_rr3,0.8,23,0,18,0.2174,-3.3088
SOLUSDT,full_clone_max_tp,0.8,28,0,26,0.0714,-2.7361
SOLUSDT,full_clone_sl_adjust,0.8,50,0,44,0.12,-3.7022
SOLUSDT,lh_sell_trail15,0.8,36,2,24,0.3333,-1.6873
SOLUSDT,lh_sell_prox15_trail15,0.8,37,2,25,0.3243,-2.0064
SOLUSDT,hl_buy_trail15,0.8,45,2,29,0.3556,7.8029
SOLUSDT,hl_buy_prox15_trail15,0.8,38,2,22,0.4211,7.277
SOLUSDT,pre_confirm_trail15,0.8,46,2,30,0.3478,6.4273
SOLUSDT,pre_confirm_prox15_trail15,0.8,39,2,23,0.4103,5.3461
SOLUSDT,r8_btc_minsl_strict,0.8,35,1,26,0.2571,-1.5756
SOLUSDT,r8_sol_hlbuy_cooldown,0.8,53,2,40,0.2453,5.2992
SOLUSDT,trail_15_from_30_act2_min1,0.8,79,4,72,0.0886,-4.8339
SOLUSDT,trail_15_from_30_act3_min1,0.8,71,3,67,0.0563,-3.2699
SOLUSDT,trail_15_from_30_act5_min15,0.8,71,3,68,0.0423,-7.0655
SOLUSDT,trail_20_from_30_act2_min1,0.8,28,5,21,0.25,-0.7514
SOLUSDT,trail_20_from_30_act3_min1,0.8,25,4,20,0.2,0.9126
SOLUSDT,trail_20_from_30_act5_min15,0.8,25,4,21,0.16,-2.8785
SOLUSDT,trail_15_from_15_act2_min1,0.8,30,3,25,0.1667,-4.1156
SOLUSDT,trail_15_from_15_act3_min1,0.8,28,3,24,0.1429,-1.3531
SOLUSDT,trail_15_from_15_act5_min15,0.8,28,3,25,0.1071,-5.1467
SOLUSDT,trail_20_from_15_act2_min1,0.8,74,4,67,0.0946,-4.4677
SOLUSDT,trail_20_from_15_act3_min1,0.8,69,3,65,0.058,-3.5901
SOLUSDT,trail_20_from_15_act5_min15,0.8,69,3,66,0.0435,-7.3857
SOLUSDT,default,0.65,72,3,69,0.0417,-5.9295
SOLUSDT,loose_entry,0.65,79,3,76,0.038,-8.085
SOLUSDT,broad_zone,0.65,74,3,71,0.0405,-6.2151
SOLUSDT,low_rr,0.65,77,3,74,0.039,-7.7994
SOLUSDT,aggressive,0.65,79,3,76,0.038,-8.085
SOLUSDT,partial_50,0.65,32,3,22,0.3125,2.0425
SOLUSDT,partial_60,0.65,41,2,34,0.1707,0.0679
SOLUSDT,partial_70,0.65,40,2,34,0.15,0.4055
SOLUSDT,partial_tight,0.65,37,1,32,0.1351,-1.5798
SOLUSDT,partial_high_rr,0.65,24,2,19,0.2083,0.0723
SOLUSDT,partial_conservative,0.65,27,2,21,0.2222,-0.7621
SOLUSDT,trail_20_from_15,0.65,94,2,75,0.2021,-2.9008
SOLUSDT,trail_15_from_15,0.65,40,2,24,0.4,1.0224
SOLUSDT,trail_15_from_15_d1,0.65,48,2,31,0.3542,-0.1501
SOLUSDT,trail_25_from_15,0.65,72,2,51,0.2917,-1.243
SOLUSDT,db_layer_0,0.65,28,0,19,0.3214,-2.0927
SOLUSDT,db_layer_1,0.65,61,0,54,0.1148,-4.924
